surf_turf,Surf & Turf,plate
korean_chicken_sandwhiches,Korean Chicken Sandwiches,sandwich
sausage_risotto,Sausage Risotto,pasta
cherry_tomato_pasta,Cherry Tomato Pasta,pasta
salmon_bowl,Salmon Bowl,bowl
taco_bowl,Taco Bowl,bowl
curry,Curry,bowl
quinoa,Quinoa,bowl
vodka_pasta,Vodka Pasta,pasta
turkey_burger,Turkey Burger,sandwich
italian_bean_soup,Italian Bean Soup,bowl
bone_broth_soup,Bone Broth Soup,soup
mediterranean_bowl,Mediterranean Bowl,bowl
caesar_salad,Caesar Salad,salad
short_rib_bowl,Short Rib Bowl,bowl
bolognese,Bolongnese,pasta
steak_salad,Steak Salad,salad
chinese_chicken_salad,Chinese Chicken Salad,salad
caprese_sandwich,Caprese Sanwich,sandwich
BLTA,BLTA,sandwich
steak_potato,Steak Potato,plate
chili,Chilli,soup
tomato_soup,Tomato Soup,soup
